"title","type","n"
"Advances in Archaeological Practice","journal",1
"Open Quaternary","journal",1
"PLOS ONE","journal",1
"Journal of Open Source Software","journal",1
"Journal of Open Archaeology Data","journal",2
"CAA2021","conference",3
"CAA2022","conference",7
"CAA2023","conference",3
